physical_fitness 1 2 physical_fitness 0 1 corr=0.478371
food_component_recall 1 2 food_component_recall 9 10 corr=0.275708
food_component_recall 57 58 food_component_recall 9 10 corr=0.634156
food_component_recall 58 59 food_component_recall 9 10 corr=0.635700
food_component_recall 7 8 food_component_recall 9 10 corr=0.630391
food_component_recall 8 9 food_component_recall 9 10 corr=0.661781
food_component_recall 5 6 food_component_recall 9 10 corr=0.593163
food_component_recall 3 4 food_component_recall 9 10 corr=0.898852
food_component_recall 53 54 food_component_recall 9 10 corr=0.594467
food_component_recall 6 7 food_component_recall 9 10 corr=0.774545
food_component_recall 2 3 food_component_recall 9 10 corr=0.574939
food_component_recall 56 57 food_component_recall 9 10 corr=0.482607
food_component_recall 0 1 food_component_recall 9 10 corr=0.215429
food_component_recall 2 3 food_component_recall 10 11 corr=0.389677
food_component_recall 58 59 food_component_recall 10 11 corr=0.432657
food_component_recall 6 7 food_component_recall 10 11 corr=0.499305
food_component_recall 3 4 food_component_recall 10 11 corr=0.491088
food_component_recall 7 8 food_component_recall 10 11 corr=0.362689
food_component_recall 9 10 food_component_recall 10 11 corr=0.723497
food_component_recall 5 6 food_component_recall 10 11 corr=0.708781
food_component_recall 8 9 food_component_recall 10 11 corr=0.406390
food_component_recall 58 59 food_component_recall 11 12 corr=0.487192
food_component_recall 3 4 food_component_recall 11 12 corr=0.644931
food_component_recall 57 58 food_component_recall 11 12 corr=0.450875
food_component_recall 10 11 food_component_recall 11 12 corr=0.796932
food_component_recall 53 54 food_component_recall 11 12 corr=0.602133
food_component_recall 5 6 food_component_recall 11 12 corr=0.606614
food_component_recall 9 10 food_component_recall 11 12 corr=0.857979
food_component_recall 1 2 food_component_recall 11 12 corr=0.249363
food_component_recall 8 9 food_component_recall 11 12 corr=0.518995
food_component_recall 2 3 food_component_recall 11 12 corr=0.453036
food_component_recall 6 7 food_component_recall 11 12 corr=0.627242
food_component_recall 7 8 food_component_recall 11 12 corr=0.481184
food_component_recall 11 12 food_component_recall 12 13 corr=0.691774
food_component_recall 10 11 food_component_recall 12 13 corr=0.640874
food_component_recall 9 10 food_component_recall 12 13 corr=0.609017
food_component_recall 10 11 food_component_recall 13 14 corr=0.321851
food_component_recall 9 10 food_component_recall 13 14 corr=0.301973
food_component_recall 11 12 food_component_recall 13 14 corr=0.316682
food_component_recall 9 10 food_component_recall 14 15 corr=0.769605
food_component_recall 10 11 food_component_recall 14 15 corr=0.485882
food_component_recall 11 12 food_component_recall 14 15 corr=0.594424
food_component_recall 9 10 food_component_recall 15 16 corr=0.861069
food_component_recall 1 2 food_component_recall 15 16 corr=0.254778
food_component_recall 10 11 food_component_recall 15 16 corr=0.818493
food_component_recall 3 4 food_component_recall 15 16 corr=0.644006
food_component_recall 12 13 food_component_recall 15 16 corr=0.700289
food_component_recall 8 9 food_component_recall 15 16 corr=0.517441
food_component_recall 7 8 food_component_recall 15 16 corr=0.480793
food_component_recall 57 58 food_component_recall 15 16 corr=0.450360
food_component_recall 11 12 food_component_recall 15 16 corr=0.998317
food_component_recall 53 54 food_component_recall 15 16 corr=0.593665
food_component_recall 2 3 food_component_recall 15 16 corr=0.455618
food_component_recall 6 7 food_component_recall 15 16 corr=0.628278
food_component_recall 5 6 food_component_recall 15 16 corr=0.618455
food_component_recall 58 59 food_component_recall 15 16 corr=0.490580
food_component_recall 13 14 food_component_recall 15 16 corr=0.324381
food_component_recall 14 15 food_component_recall 15 16 corr=0.597006
food_component_recall 9 10 food_component_recall 61 62 corr=0.618396
food_component_recall 10 11 food_component_recall 61 62 corr=0.410656
food_component_recall 11 12 food_component_recall 61 62 corr=0.435970
food_component_recall 15 16 food_component_recall 61 62 corr=0.440250
food_component_recall 9 10 food_component_recall 16 17 corr=0.740219
food_component_recall 11 12 food_component_recall 16 17 corr=0.606315
food_component_recall 15 16 food_component_recall 16 17 corr=0.611327
food_component_recall 10 11 food_component_recall 16 17 corr=0.556173
food_component_recall 15 16 food_component_recall 17 18 corr=0.795856
food_component_recall 9 10 food_component_recall 17 18 corr=0.745843
food_component_recall 10 11 food_component_recall 17 18 corr=0.550191
food_component_recall 11 12 food_component_recall 17 18 corr=0.803138
food_component_recall 15 16 food_component_recall 18 19 corr=0.737259
food_component_recall 9 10 food_component_recall 18 19 corr=0.718699
food_component_recall 11 12 food_component_recall 18 19 corr=0.741160
food_component_recall 10 11 food_component_recall 18 19 corr=0.562424
food_component_recall 58 59 food_component_recall 20 21 corr=0.382164
