"varname","estimate","standard_error","pvalue","tau2","Q","degf","p.het","I2","n","var_desc","model","phenotype"
"bDIETARY_FIBER_gm",-0.0950967545166315,0.0406165408324165,0.0192151378575364,0.00492041014964982,12.9292090005249,3,0.0047922230288211,76.7967243790536,4,"Total Dietary Fiber (gm)","full_model","systolic"
"bMAGNESIUM_mg",-0.00636477683233055,0.0025827134960363,0.0137252093190066,1.93060914659466e-05,11.0273887380252,3,0.0115786924592223,72.7950100312029,4,"Total Magnesium (mg)","full_model","systolic"
"bPHOSPHORUS_mg",-0.00193761122023994,0.000617935525327132,0.00171491036624072,9.74999095562722e-07,8.68672281620148,3,0.0337595105696773,65.4645363565101,4,"Total Phosphorus (mg)","full_model","systolic"
"DR1TALCO",0.030918275603262,0.00532554378629926,6.41144504154312e-09,0,2.48020678755078,3,0.478878782540235,0,4,"Alcohol (gm)","full_model","systolic"
"DR1TCALC",-0.00137676111723649,0.000364247839171235,0.000156993955352736,1.91601422657526e-07,4.70919955219725,3,0.19437213372282,36.2949060291947,4,"Calcium (mg)","full_model","systolic"
"DR1TCOPP",-0.336441174458259,0.219917441172529,0.12605332493068,0.095567236807365,6.1514506348815,3,0.104469866328018,51.2310156081129,4,"Copper (mg)","full_model","systolic"
"DR1TFA",-0.00251838823924542,0.000793691762851643,0.00150869725018543,0,0.760725135090013,2,0.683613508203239,0,3,"Folic acid (mcg)","full_model","systolic"
"DR1TFIBE",-0.0854710763266589,0.0343578061544756,0.0128580955894433,0.00364423688356471,13.6011157386158,3,0.00350158861432293,77.9429860192829,4,"Dietary fiber (gm)","full_model","systolic"
"DR1TIRON",-0.076216111458464,0.0202191365436487,0.000163572437143489,0.000358132577528697,3.82789199920903,3,0.280658450093314,21.6278829021325,4,"Iron (mg)","full_model","systolic"
"DR1TMAGN",-0.0080177219617277,0.00252172882549549,0.00147552552610786,1.95698726137051e-05,13.4063880668039,3,0.00383532816544474,77.6226080801851,4,"Magnesium (mg)","full_model","systolic"
"DR1TPHOS",-0.0019311220410223,0.000513961049076496,0.0001717349275836,5.34079576885059e-07,6.24600910665816,3,0.100235863707769,51.9693303552497,4,"Phosphorus (mg)","full_model","systolic"
"DR1TVB1",-0.608465022512257,0.179499988847967,0.000699493737156498,0.00794104927178813,3.19478828274376,3,0.362556622212775,6.09706388983231,4,"Thiamin (Vitamin B1) (mg)","full_model","systolic"
"DR1TVB2",-0.797787846031988,0.221981811287275,0.000325723127305055,0.0867679300508704,5.38627815835918,3,0.145600890648271,44.3029135926785,4,"Riboflavin (Vitamin B2) (mg)","full_model","systolic"
"LBXFOL",-0.0343741632725366,0.0185642370721946,0.0640784690741812,0,1.21921163886731,3,0.748400350876161,0,4,"Folate, serum (ng/mL)","full_model","systolic"
"LBXIRN",-0.00329635882519299,0.00478473236981191,0.49086558934649,0,0.340825766577532,3,0.952175950971946,0,4,"Iron, Frozen Serum (ug/dL)","full_model","systolic"
"LBXSCA",3.22378052318842,0.493636719774016,6.5474292654244e-11,0,1.20206016534707,3,0.7525102414206,0,4,"Total calcium (mg/dL)","full_model","systolic"
"LBXSPH",-0.592566168122662,0.292265297408387,0.0426119065261724,0,0.64420516028099,3,0.886242149020126,0,4,"Phosphorus (mg/dL)","full_model","systolic"
"NAKRATIO",0.891170165951089,0.370669455953545,0.0162071066154309,0.357425119609622,9.17230092897464,3,0.0270856344006111,67.2928306296274,4,"Sodium/Potassium ratio","full_model","systolic"
