"","varname","series","outcome","N","degf","index","varnameModel","estimate","standard_error","tstat","pvalue","rsq","adjrsq","noenv_rsq","noenv_adjrsq","model_name","var_desc"
"2","bCALCIUM_mg","2001-2002","msys",3184,3,2,"bCALCIUM_mg",0.000535166513489247,0.000763403859248187,0.701026733105972,0.533769530502337,0.177866107913826,0.174754910592781,0.177523504227729,0.174671284349578,"reduced_model","Total Calcium (mg)"
"5","bCALCIUM_mg","2005-2006","msys",3283,3,2,"bCALCIUM_mg",-0.000253304259634709,0.000660121721479048,-0.383723563992355,0.726763098232459,0.126495728722611,0.123290208461042,0.126434646633795,0.123496945965184,"reduced_model","Total Calcium (mg)"
"6","bCALCIUM_mg","2003-2004","msys",3040,3,2,"bCALCIUM_mg",-0.00124925003166003,0.000499804751440002,-2.49947610153921,0.0877471678680283,0.146478017807708,0.143094382595846,0.144778360552684,0.141671544821535,"reduced_model","Total Calcium (mg)"
"7","bCALCIUM_mg","1999-2000","msys",2928,2,2,"bCALCIUM_mg",-0.0011206059319514,0.000650026411952854,-1.72393907592893,0.226860536796873,0.172831613475655,0.169426460598025,0.17142526654768,0.168299641695837,"reduced_model","Total Calcium (mg)"
"8","bDIETARY_FIBER_gm","2005-2006","msys",3338,3,2,"bDIETARY_FIBER_gm",-0.141143479150094,0.0321818494408001,-4.3858100638291,0.0219520385149859,0.13132001946541,0.128184933821375,0.127615618022177,0.124730402086592,"reduced_model","Total Dietary Fiber (gm)"
"9","bDIETARY_FIBER_gm","2001-2002","msys",3418,3,2,"bDIETARY_FIBER_gm",-0.0189365942711587,0.0290135520655401,-0.652681003290531,0.560515426971914,0.172137606651927,0.169220029935281,0.172041913448709,0.169367944290733,"reduced_model","Total Dietary Fiber (gm)"
"11","bDIETARY_FIBER_gm","1999-2000","msys",2946,2,2,"bDIETARY_FIBER_gm",-0.080173025768592,0.0612176332296643,-1.30963942150156,0.320541014628373,0.174957040470752,0.171581481140936,0.173218910164621,0.170119185560603,"reduced_model","Total Dietary Fiber (gm)"
"13","bDIETARY_FIBER_gm","2003-2004","msys",3078,3,2,"bDIETARY_FIBER_gm",-0.163947932502561,0.0464626869020677,-3.52859344635243,0.0386781762275058,0.150915155180946,0.147590842574803,0.145973154015907,0.142909130758952,"reduced_model","Total Dietary Fiber (gm)"
"16","bFOLIC_ACID_mcg","2001-2002","msys",3285,3,2,"bFOLIC_ACID_mcg",-0.00216499410781344,0.00106153540305152,-2.03949307916617,0.134112074351969,0.168790244078825,0.165741797541217,0.167369621347731,0.164571291324763,"reduced_model","Total Folic Acid (mcg)"
"18","bFOLIC_ACID_mcg","2005-2006","msys",3259,3,2,"bFOLIC_ACID_mcg",-0.000969985440067972,0.000986100362482377,-0.983657928718494,0.397814974448912,0.123829611090677,0.120590533867353,0.123513454186339,0.120544143436739,"reduced_model","Total Folic Acid (mcg)"
"20","bFOLIC_ACID_mcg","2003-2004","msys",3016,3,2,"bFOLIC_ACID_mcg",-0.00228960646859705,0.00128806853308209,-1.77755019223898,0.173544251054348,0.145194100366708,0.141778292575966,0.143632830511324,0.140496998665659,"reduced_model","Total Folic Acid (mcg)"
"21","bMAGNESIUM_mg","1999-2000","msys",2930,2,2,"bMAGNESIUM_mg",-0.00667753936016854,0.00278503228473298,-2.39765240667892,0.13866764664764,0.175491254810166,0.172099377901603,0.172797704552216,0.169679395693434,"reduced_model","Total Magnesium (mg)"
"22","bMAGNESIUM_mg","2001-2002","msys",3340,3,2,"bMAGNESIUM_mg",-0.0010313544764932,0.00237845104736888,-0.433624428652469,0.693850582280285,0.17317246758649,0.170190222203574,0.173112081553126,0.170378978457298,"reduced_model","Total Magnesium (mg)"
"24","bMAGNESIUM_mg","2003-2004","msys",3059,3,2,"bMAGNESIUM_mg",-0.0129232413107972,0.00312062347051701,-4.1412369780889,0.0255669224221245,0.150974919842225,0.147630106657099,0.142997139314503,0.139903266171234,"reduced_model","Total Magnesium (mg)"
"26","bMAGNESIUM_mg","2005-2006","msys",3310,3,2,"bMAGNESIUM_mg",-0.00505619560214695,0.00254189605571498,-1.98914333683277,0.140800961842871,0.128054197040064,0.124880599941029,0.126718972114982,0.123806270081406,"reduced_model","Total Magnesium (mg)"
"29","bPHOSPHORUS_mg","2001-2002","msys",3387,3,2,"bPHOSPHORUS_mg",-0.000226537246068493,0.000862657362744561,-0.26260396752166,0.809856858799966,0.169464199107099,0.166510307699062,0.169427158047418,0.166720105821794,"reduced_model","Total Phosphorus (mg)"
"30","bPHOSPHORUS_mg","1999-2000","msys",2949,2,2,"bPHOSPHORUS_mg",-0.00117893631680955,0.00069524822372563,-1.69570561502765,0.232029476947526,0.171696924960055,0.168311490048447,0.170778500553181,0.16767280205338,"reduced_model","Total Phosphorus (mg)"
"32","bPHOSPHORUS_mg","2005-2006","msys",3346,3,2,"bPHOSPHORUS_mg",-0.000448829284309381,0.00101615559813505,-0.441693462234641,0.68860962598263,0.127056795365476,0.123913885537809,0.126961974845218,0.124081525452086,"reduced_model","Total Phosphorus (mg)"
"34","bPHOSPHORUS_mg","2003-2004","msys",3086,3,2,"bPHOSPHORUS_mg",-0.00287035177472174,0.000631177932723601,-4.54761110284047,0.019918281304936,0.147866263935651,0.144538699720626,0.144093641725523,0.141030866858568,"reduced_model","Total Phosphorus (mg)"
"36","DR1TALCO","2005-2006","msys",3385,3,2,"DR1TALCO",0.043229366139403,0.0157489301207253,2.74490811807679,0.0710450017933082,0.130572600022897,0.127478552336145,0.126590050308246,0.123741692927098,"reduced_model","Alcohol (gm)"
"37","DR1TALCO","1999-2000","msys",2983,2,2,"DR1TALCO",0.0286274037232254,0.0136501828761824,2.09721759648921,0.170893235056876,0.175812177872095,0.172482126065518,0.170687712330114,0.167617219174823,"reduced_model","Alcohol (gm)"
"39","DR1TALCO","2001-2002","msys",3466,3,2,"DR1TALCO",0.0187055735109435,0.00759994944423711,2.46127604508311,0.0907645741774028,0.172584381386792,0.169708914423757,0.170895292206371,0.168254831353525,"reduced_model","Alcohol (gm)"
"41","DR1TALCO","2003-2004","msys",3119,3,2,"DR1TALCO",0.0220427024860932,0.0130799013155809,1.68523461716303,0.190530605216262,0.146887088432202,0.143591095213009,0.145347429237871,0.142321623548015,"reduced_model","Alcohol (gm)"
"43","DR1TCALC","2001-2002","msys",3466,3,2,"DR1TCALC",0.000290563309748997,0.00082081268410531,0.353994663308246,0.746761157637367,0.170987017050397,0.168105998864647,0.170895292206371,0.168254831353525,"reduced_model","Calcium (mg)"
"44","DR1TCALC","1999-2000","msys",2983,2,2,"DR1TCALC",-0.00107024956014742,0.000485691372720516,-2.2035589270458,0.158411766319882,0.172152362246987,0.168807523306571,0.170687712330114,0.167617219174823,"reduced_model","Calcium (mg)"
"46","DR1TCALC","2003-2004","msys",3119,3,2,"DR1TCALC",-0.00182182745651617,0.000395112835382098,-4.61090426170121,0.0191893634856749,0.147971970697264,0.144680168909874,0.145347429237871,0.142321623548015,"reduced_model","Calcium (mg)"
"48","DR1TCALC","2005-2006","msys",3385,3,2,"DR1TCALC",-0.000667944746732936,0.000801277261536987,-0.833600026851759,0.465668930547037,0.126926495421314,0.123819472273347,0.126590050308246,0.123741692927098,"reduced_model","Calcium (mg)"
"50","DR1TCARB","2001-2002","msys",3466,3,2,"DR1TCARB",-0.00574384780199456,0.00341313673688939,-1.68286483805782,0.190990931675192,0.171670597170141,0.16879195458863,0.170895292206371,0.168254831353525,"reduced_model","Carbohydrate (gm)"
"52","DR1TCARB","2005-2006","msys",3385,3,2,"DR1TCARB",0.000888850694332563,0.00583792064818705,0.152254672150878,0.888649385079862,0.126601361155975,0.123493180946566,0.126590050308246,0.123741692927098,"reduced_model","Carbohydrate (gm)"
"54","DR1TCARB","2003-2004","msys",3119,3,2,"DR1TCARB",-0.00857211364414287,0.00571846352827293,-1.49902392517869,0.230818287451429,0.146502916422974,0.143205438959058,0.145347429237871,0.142321623548015,"reduced_model","Carbohydrate (gm)"
"55","DR1TCARB","1999-2000","msys",2983,2,2,"DR1TCARB",-0.0107059266187223,0.00389029703905927,-2.75195608747427,0.110570519376151,0.173535591394737,0.170196341258958,0.170687712330114,0.167617219174823,"reduced_model","Carbohydrate (gm)"
"56","DR1TCOPP","1999-2000","msys",2983,2,2,"DR1TCOPP",-0.706639375782884,0.309257216872143,-2.28495678429076,0.149687641943658,0.17223253523749,0.168888020228348,0.170687712330114,0.167617219174823,"reduced_model","Copper (mg)"
"58","DR1TCOPP","2003-2004","msys",3119,3,2,"DR1TCOPP",-0.62965648450597,0.589890839736129,-1.06741187028371,0.36405611253777,0.146414889813592,0.143117072259749,0.145347429237871,0.142321623548015,"reduced_model","Copper (mg)"
"60","DR1TCOPP","2001-2002","msys",3466,3,2,"DR1TCOPP",0.00778873703481085,0.136524790743138,0.0570499833210867,0.958092563537224,0.170895820176311,0.168014485059635,0.170895292206371,0.168254831353525,"reduced_model","Copper (mg)"
"62","DR1TCOPP","2005-2006","msys",3385,3,2,"DR1TCOPP",-0.465630206128612,0.285599241859185,-1.63036219248156,0.201519115337014,0.127292859003841,0.124187139640865,0.126590050308246,0.123741692927098,"reduced_model","Copper (mg)"
"64","DR1TFA","2003-2004","msys",3119,3,2,"DR1TFA",-0.00384309893687519,0.00158603478544325,-2.42308615936262,0.0939090467909209,0.146975572171972,0.143679920808824,0.145347429237871,0.142321623548015,"reduced_model","Folic acid (mcg)"
"66","DR1TFA","2001-2002","msys",3466,3,2,"DR1TFA",-0.00208010024666107,0.00107008735595162,-1.94386022327239,0.147154699082945,0.171693393910708,0.168814830553317,0.170895292206371,0.168254831353525,"reduced_model","Folic acid (mcg)"
"68","DR1TFA","2005-2006","msys",3385,3,2,"DR1TFA",-0.00245449851749439,0.00163809175302897,-1.49838891072849,0.230970938229803,0.127290608697066,0.124184881325881,0.126590050308246,0.123741692927098,"reduced_model","Folic acid (mcg)"
"70","DR1TFIBE","2001-2002","msys",3466,3,2,"DR1TFIBE",-0.00281555578873571,0.0275631811891684,-0.102149159395366,0.925083196208342,0.17089807317197,0.168016745884992,0.170895292206371,0.168254831353525,"reduced_model","Dietary fiber (gm)"
